"ID","target"
1,0.30721
3,0.420975
6,0.230557
9,0.260631
10,0.56996
11,0.136812
12,0.0664992
13,0.0774643
15,0.171952
17,0.202379
18,0.726654
19,0.166474
27,0.338679
29,0.126176
33,0.548987
34,0.153044
39,0.188336
41,0.284509
44,0.101082
45,0.420192
47,0.139038
48,0.128727
49,0.295919
53,0.136835
56,0.221205
57,0.205356
59,0.300465
61,0.0813904
64,0.158061
68,0.19815
72,0.274786
73,0.167115
81,0.153569
82,0.399752
85,0.162329
87,0.225292
88,0.24617
92,0.13313
95,0.0635159
96,0.115095
97,0.0617196
99,0.297321
103,0.274895
104,0.287448
105,0.378794
106,0.200442
111,0.17569
112,0.408069
114,0.186471
117,0.20926
118,0.179777
119,0.0633988
120,0.309567
121,0.133745
123,0.431454
127,0.0794301
129,0.241149
130,0.155428
132,0.147275
133,0.299342
134,0.218036
135,0.224322
139,0.171313
141,0.0936578
142,0.137427
145,0.100214
146,0.164681
147,0.430164
150,0.193292
152,0.197174
153,0.113787
158,0.153726
160,0.366733
163,0.498563
164,0.159207
171,0.235868
172,0.399927
173,0.133485
174,0.384612
175,0.174313
176,0.253966
177,0.651182
178,0.1782
179,0.149746
180,0.434534
181,0.43524
182,0.149621
185,0.434155
187,0.230294
189,0.139697
190,0.211414
192,0.156888
193,0.398833
200,0.152579
201,0.389122
202,0.376307
203,0.196665
204,0.170208
205,0.355836
206,0.215574
208,0.189738
209,0.23051
212,0.683784
214,0.117487
216,0.316514
224,0.115688
227,0.19644
228,0.420724
229,0.313007
230,0.225933
231,0.701558
232,0.0655781
233,0.382889
235,0.196897
237,0.473651
240,0.177454
243,0.159012
244,0.542208
245,0.211637
246,0.264515
247,0.176149
248,0.193526
250,0.173305
252,0.370154
254,0.166323
255,0.20439
257,0.122504
267,0.074017
268,0.560597
271,0.543383
274,0.184725
277,0.345954
280,0.137479
281,0.32412
283,0.309983
284,0.521095
286,0.119212
287,0.0966592
288,0.0701446
290,0.0906049
291,0.127687
292,0.0898307
295,0.1774
301,0.182919
303,0.17712
304,0.192528
305,0.471625
308,0.062754
313,0.26983
314,0.0860447
315,0.144735
317,0.206197
318,0.415102
319,0.243785
320,0.551123
323,0.199398
325,0.26639
327,0.167992
328,0.173405
329,0.105264
330,0.0811709
333,0.537103
334,0.237998
342,0.215778
343,0.266743
346,0.191792
347,0.0667748
348,0.223843
353,0.122655
354,0.107171
356,0.124135
358,0.441259
359,0.340152
360,0.238921
361,0.12189
365,0.194071
366,0.429559
367,0.207432
370,0.204706
371,0.174256
373,0.574253
375,0.382349
378,0.265643
379,0.461329
380,0.236471
383,0.424909
388,0.250591
389,0.365805
392,0.18672
395,0.24525
396,0.0837024
397,0.451713
400,0.132822
401,0.174446
402,0.334694
403,0.59367
405,0.111968
408,0.1404
410,0.18096
414,0.0847928
415,0.542934
416,0.353292
418,0.28579
422,0.0998908
424,0.239181
427,0.237341
428,0.221168
429,0.179414
430,0.515738
436,0.124301
437,0.0804432
438,0.0740678
440,0.371435
441,0.390748
443,0.278122
445,0.071988
446,0.120974
447,0.157563
448,0.333482
451,0.399177
453,0.108603
454,0.158413
458,0.394978
460,0.175284
461,0.0729702
463,0.0472712
465,0.334357
466,0.409477
469,0.234594
470,0.133101
474,0.211506
475,0.173578
484,0.0304806
485,0.291658
486,0.3459
490,0.0438135
493,0.155512
494,0.297501
497,0.216609
498,0.280865
501,0.0492449
503,0.315764
508,0.636342
510,0.31355
511,0.0555732
512,0.41035
513,0.103743
514,0.221904
515,0.0757997
517,0.119861
518,0.533864
519,0.0522789
523,0.358664
525,0.144224
526,0.195143
530,0.0985356
532,0.220121
